date,Thomas Insel,Joshua Prager,Andres Lozano,BLACK,Iraola,isPartial
2004-01-01,0,0,0,37,0,False
2004-02-01,0,0,0,40,0,False
2004-03-01,0,0,0,36,0,False
2004-04-01,0,0,0,36,0,False
2004-05-01,0,0,0,36,0,False
2004-06-01,0,0,0,34,0,False
2004-07-01,0,0,0,35,0,False
2004-08-01,0,0,0,34,0,False
2004-09-01,0,0,0,34,0,False
2004-10-01,0,0,0,35,0,False
2004-11-01,0,0,0,34,0,False
2004-12-01,0,0,0,35,0,False
2005-01-01,0,0,0,34,0,False
2005-02-01,0,0,0,37,0,False
2005-03-01,0,0,0,33,0,False
2005-04-01,0,0,0,34,0,False
2005-05-01,0,0,0,35,0,False
2005-06-01,0,0,0,35,0,False
2005-07-01,0,0,0,35,0,False
2005-08-01,0,0,0,35,0,False
2005-09-01,0,0,0,35,0,False
2005-10-01,0,0,0,39,0,False
2005-11-01,0,0,0,41,0,False
2005-12-01,0,0,0,39,0,False
2006-01-01,0,0,0,39,0,False
2006-02-01,0,0,0,40,0,False
2006-03-01,0,0,0,38,0,False
2006-04-01,0,0,0,37,0,False
2006-05-01,0,0,0,37,0,False
2006-06-01,0,0,0,36,0,False
2006-07-01,0,0,0,37,0,False
2006-08-01,0,0,0,36,0,False
2006-09-01,0,0,0,37,0,False
2006-10-01,0,0,0,37,0,False
2006-11-01,0,0,0,42,0,False
2006-12-01,0,0,0,37,0,False
2007-01-01,0,0,0,35,0,False
2007-02-01,0,0,0,36,0,False
2007-03-01,0,0,0,33,0,False
2007-04-01,0,0,0,33,0,False
2007-05-01,0,0,0,33,0,False
2007-06-01,0,0,0,32,0,False
2007-07-01,0,0,0,34,0,False
2007-08-01,0,0,0,33,0,False
2007-09-01,0,0,0,33,0,False
2007-10-01,0,0,0,34,0,False
2007-11-01,0,0,0,42,0,False
2007-12-01,0,0,0,34,0,False
2008-01-01,0,0,0,33,0,False
2008-02-01,0,0,0,34,0,False
2008-03-01,0,0,0,33,0,False
2008-04-01,0,0,0,33,0,False
2008-05-01,0,0,0,34,0,False
2008-06-01,0,0,0,33,0,False
2008-07-01,0,0,0,34,0,False
2008-08-01,0,0,0,34,0,False
2008-09-01,0,0,0,33,0,False
2008-10-01,0,0,0,34,0,False
2008-11-01,0,0,0,45,0,False
2008-12-01,0,0,0,36,0,False
2009-01-01,0,0,0,34,0,False
2009-02-01,0,0,0,34,0,False
2009-03-01,0,0,0,33,0,False
2009-04-01,0,0,0,34,0,False
2009-05-01,0,0,0,34,0,False
2009-06-01,0,0,0,35,0,False
2009-07-01,0,0,0,36,0,False
2009-08-01,0,0,0,36,0,False
2009-09-01,0,0,0,35,0,False
2009-10-01,0,0,0,37,0,False
2009-11-01,0,0,0,52,0,False
2009-12-01,0,0,0,37,0,False
2010-01-01,0,0,0,36,0,False
2010-02-01,0,0,0,36,0,False
2010-03-01,0,0,0,34,0,False
2010-04-01,0,0,0,35,0,False
2010-05-01,0,0,0,37,0,False
2010-06-01,0,0,0,35,0,False
2010-07-01,0,0,0,39,0,False
2010-08-01,0,0,0,40,0,False
2010-09-01,0,0,0,39,0,False
2010-10-01,0,0,0,41,0,False
2010-11-01,0,0,0,77,0,False
2010-12-01,0,0,0,55,0,False
2011-01-01,0,0,0,54,0,False
2011-02-01,0,0,0,52,0,False
2011-03-01,0,0,0,53,0,False
2011-04-01,0,0,0,49,0,False
2011-05-01,0,0,0,46,0,False
2011-06-01,0,0,0,46,0,False
2011-07-01,0,0,0,45,0,False
2011-08-01,0,0,0,45,0,False
2011-09-01,0,0,0,42,0,False
2011-10-01,0,0,0,43,0,False
2011-11-01,0,0,0,59,0,False
2011-12-01,0,0,0,44,0,False
2012-01-01,0,0,0,42,0,False
2012-02-01,0,0,0,43,0,False
2012-03-01,0,0,0,41,0,False
2012-04-01,0,0,0,41,0,False
2012-05-01,0,0,0,45,0,False
2012-06-01,0,0,0,43,0,False
2012-07-01,0,0,0,43,0,False
