Wanda Diaz Merced,Julia Galef,Prosanta Chakrabarty,John Legend,Iraola,isPartial
0,0,0,2,0,False
0,0,0,1,1,False
0,0,0,2,0,False
0,0,0,2,1,False
0,0,0,1,0,False
0,0,0,2,1,False
0,0,0,1,0,False
0,0,0,2,1,False
0,0,0,4,1,False
0,0,0,11,0,False
0,0,0,8,0,False
0,0,0,13,1,False
0,0,0,23,0,False
0,0,0,39,0,False
0,0,0,32,0,False
0,0,0,26,0,False
0,0,0,24,0,False
0,0,0,26,0,False
0,0,0,24,0,False
0,0,0,22,0,False
0,0,0,23,0,False
0,0,0,16,1,False
0,0,0,15,0,False
0,0,0,15,0,False
0,0,0,12,0,False
0,0,0,23,0,False
0,0,0,12,1,False
0,0,0,9,0,False
0,0,0,9,0,False
0,0,0,7,0,False
0,0,0,7,1,False
0,0,0,10,0,False
0,0,0,17,0,False
0,0,0,43,0,False
0,0,0,43,0,False
0,0,0,33,1,False
0,0,0,23,0,False
0,0,0,28,1,False
0,0,0,23,1,False
0,0,0,24,0,False
0,0,0,20,0,False
0,0,0,18,0,False
0,0,0,19,0,False
0,0,0,14,0,False
0,0,0,11,1,False
0,0,0,10,0,False
0,0,0,11,0,False
0,0,0,12,0,False
0,0,0,13,0,False
0,0,0,14,0,False
0,0,0,14,0,False
0,0,0,11,1,False
0,0,0,10,1,False
0,0,0,10,0,False
0,0,0,12,0,False
0,0,0,12,1,False
0,0,0,19,1,False
0,0,0,29,0,False
0,0,0,33,0,False
0,0,0,24,0,False
0,0,0,23,0,False
0,0,0,23,0,False
0,0,0,21,0,False
0,0,0,16,1,False
0,0,0,15,0,False
0,0,0,15,0,False
0,0,0,15,0,False
0,0,0,16,0,False
0,0,0,13,1,False
0,0,0,13,1,False
0,0,0,12,1,False
0,0,0,11,1,False
0,0,0,11,1,False
0,0,0,12,0,False
0,0,0,12,0,False
0,0,0,10,0,False
0,0,0,10,0,False
0,0,0,13,0,False
0,0,0,12,0,False
0,0,0,14,0,False
0,0,0,21,1,False
0,0,0,18,1,False
0,0,0,16,1,False
0,0,0,13,0,False
0,0,0,12,0,False
0,0,0,15,1,False
0,0,0,13,1,False
0,0,0,13,0,False
0,0,0,12,1,False
0,0,0,11,0,False
0,0,0,12,0,False
0,0,0,12,1,False
0,0,0,11,1,False
0,0,0,10,0,False
0,0,0,9,0,False
0,0,0,12,0,False
0,0,0,11,0,False
0,0,0,12,0,False
0,0,0,11,1,False
0,0,0,19,0,False
0,0,0,22,1,False
0,0,0,20,0,False
0,0,0,15,0,False
0,0,0,16,0,False
0,0,0,18,0,False
0,0,0,13,0,False
0,0,0,12,0,False
0,0,0,12,0,False
0,0,0,15,0,False
0,0,0,16,0,False
0,0,0,15,0,False
0,0,0,14,0,False
0,0,0,15,0,False
0,0,0,18,0,False
0,0,0,16,0,False
0,0,0,21,0,False
0,0,0,31,0,False
0,0,0,36,0,False
0,0,0,40,0,False
0,0,0,41,0,False
0,0,0,50,0,False
0,0,0,73,0,False
0,0,0,85,0,False
0,0,0,91,0,False
0,0,0,100,0,False
0,0,0,86,0,False
0,0,0,86,0,False
0,0,0,73,1,False
0,0,0,60,1,False
0,0,0,58,0,False
0,0,0,59,0,False
0,0,0,47,0,False
0,0,0,48,0,False
0,0,0,80,0,False
0,0,0,48,1,False
0,0,0,48,1,False
0,0,0,44,2,False
0,0,0,35,1,False
0,0,0,40,1,False
0,0,0,36,1,False
0,0,0,34,0,False
0,0,0,35,0,False
0,0,0,30,0,False
0,0,0,32,0,False
0,0,0,30,0,False
0,0,0,31,0,False
0,0,0,28,0,False
0,0,0,29,0,False
0,0,0,21,0,False
0,0,0,21,0,False
0,0,0,22,0,False
0,0,0,19,0,False
0,0,0,19,0,False
0,0,0,25,0,False
0,0,0,31,0,False
0,0,0,38,0,False
0,0,0,34,0,False
0,0,0,47,0,False
0,0,0,35,0,False
0,0,0,27,0,False
0,0,0,27,0,False
0,0,0,22,0,False
0,0,0,20,0,False
0,0,0,18,0,False
0,0,0,20,0,False
0,0,0,18,0,False
0,0,0,17,0,False
0,0,0,17,0,False
0,0,0,16,0,False
0,0,0,16,0,False
0,0,0,17,0,False
0,0,0,26,0,False
0,0,0,19,0,False
0,0,0,16,0,False
0,0,0,15,0,False
0,0,0,13,0,False
0,0,0,18,0,False
0,0,0,16,0,False
0,0,0,18,0,False
0,0,0,19,0,False
0,0,0,17,0,False
0,0,0,23,0,False
0,0,0,24,0,False
0,0,0,17,0,False
0,0,0,16,0,False
0,0,0,15,0,False
0,0,0,13,0,False
0,0,0,13,0,False
0,0,0,18,0,False
0,0,0,18,0,False
0,0,0,30,0,False
0,0,0,22,0,False
0,0,0,18,0,False
0,0,0,18,1,False
0,0,0,19,0,False
0,0,0,24,0,False
0,0,0,16,0,False
0,0,0,19,0,False
0,0,0,17,0,False
0,0,0,21,0,False
0,0,0,13,0,False
0,0,0,40,0,True
